City	State	District-County Code	ZipCode	Long	Lowest Grade	School Code	phone	District name	AddressLine2	AddressLine1	Lat	Principal Name	ESD Name	School Type	Highest Grade	School name	ESD Code
VANCOUVER	Washington	6037	98668-8937	-122.6234603	6	5271	360.313.5200	Vancouver School District		PO BOX 8937	45.6405989	Christina Iremonger	Educational Service District 112	Public School	12	Vancouver iTech Preparatory	6801
VANCOUVER	Washington	6037	98661-1998	-94.7450999	K 	2828	360.313.3000	Vancouver School District		6103 NE 72ND AVE	38.9154	Roberta Geenty	Educational Service District 112	Public School	5	Walnut Grove Elementary	6801
VANCOUVER	Washington	6037	98663-2932	-122.6523146	K 	3565	360.313.3050	Vancouver School District		2908 S ST	45.6437352	T McMillan	Educational Service District 112	Public School	5	Washington Elementary	6801
VASHON	Washington	17402	98070-0000	-122.4528636	PK	4468	206.463.2882	Vashon Island School District		9309 SW CEMETERY RD	47.4288811	Jody  Metzger	Puget Sound Educational Service District 121	Public School	5	Chautauqua Elementary	17801
VASHON	Washington	17402	98070-6026	-122.4573684	K 	1822	(206) 463-9171 	Vashon Island School District		20120 VASHON HWY SW	47.4227449	SUSAN HANSON	Puget Sound Educational Service District 121	Public School	12	Family Link	17801
VASHON	Washington	17402	98070-6026	-122.4573684	K 	1822	206.463.9171	Vashon Island School District		20120 VASHON HWY SW	47.4227449	SUSAN HANSON	Puget Sound Educational Service District 121	Public School	12	Family Link	17801
VASHON	Washington	17402	98070-0000	-122.4548497	6	3667	(206) 463-9168	Vashon Island School District		9329 SW CEMETERY RD	47.4284317	Gregory Allison	Puget Sound Educational Service District 121	Public School	8	McMurray Middle School	17801
Vashon	Washington	17402	98070-0000	-122.4573684	9	1938	206.463.9171	Vashon Island School District		20120 Vashon Hwy SW	47.4227449	Susan Hanson	Puget Sound Educational Service District 121	Public School	12	Student Link	17801
VASHON	Washington	17402	98070-0000	-122.4576275	9	2419	206.463.9171	Vashon Island School District		20120 VASHON HWY SW	47.4234317	SUSAN HANSON	Puget Sound Educational Service District 121	Public School	12	Vashon Island High School	17801
CATHLAMET	Washington	35200	98612-0398	-123.3798499	K 	2893	360.795.3261	Wahkiakum School District		PO Box 398	46.2017767	THERESA LIBBY	Educational Service District 112	Public School	8	Julius A Wendt Elementary/John C Thomas Middle School	6801
CATHLAMET	Washington	35200	98612-0398	-123.3778686	9	3467	360.795.3271	Wahkiakum School District		PO Box 398	46.2013431	Stephanie Leitz	Educational Service District 112	Public School	12	Wahkiakum High School	6801
Mattawa	Washington	13073	99349	-121.9595303	PK	1981	509.932.4433	Wahluke School District	411 E. Saddle Mt. Drive	PO Box 907	49.1343171	Amanda Anderson	Educational Service District 105	Public School	PK	Developmental Pre-School	39801
Mattawa	Washington	13073	99349-0000	-119.897128	K 	3152	509.932.4433	Wahluke School District	411 E. Saddle Mt. Drive	P.O. Box 907	46.7409257	Amanda Anderson	Educational Service District 105	Public School	5	Mattawa Elementary	39801
Mattawa	Washington	13073	99349-0907	-119.7415692	PK	5120	509.932.4433	Wahluke School District	411 E. Saddle Mt. Drive	P.O. Box 907	46.7117594	Amanda Anderson	Educational Service District 105	Public School	PK	Mattawa Elementary Pre-School	39801
Mattawa	Washington	13073	99349-0000	-119.8968136	K 	4222	509.932.3877	Wahluke School District	411 E. Saddle Mt. Drive	P.O. Box 907	46.7417061	Melissa Stevenson	Educational Service District 105	Public School	5	Morris Schott Elementary	39801
Mattawa	Washington	13073	99349-0000	-119.9000691	K 	4490	509.932.5693	Wahluke School District		P.O. Box 907	46.7418963	John Mullen	Educational Service District 105	Public School	5	Saddle Mountain Elementary	39801
Mattawa	Washington	13073	99349-0000	-119.7415692	9	1835	509.932.3133	Wahluke School District		P.O. Box 907	46.7117594	Mia Benjamin	Educational Service District 105	Public School	12	Sentinel Tech Alt School	39801
Mattawa	Washington	13073	99349-0000	-119.8940563	9	4254	509.932.4477	Wahluke School District	411 E. Saddle Mt. Drive	P.O. Box 907	46.7429265	Jeffery Pietila	Educational Service District 105	Public School	12	Wahluke High School	39801
Mattawa	Washington	13073	99349	-119.8968906	6	5144	509.932.4455	Wahluke School District	411 E. Saddle Mt. Drive	PO Box 907	46.7428144	Dale Hedman	Educational Service District 105	Public School	8	Wahluke Junior High	39801
WARDEN	Washington	13146	98857-9401	-119.0421783	6	3909	509.349.2902	Warden School District		101 W. BECK WAY	46.9603553	Mr. McKnight	North Central Educational Service District 171	Public School	8	Warden Middle School	4801
WASHOUGAL	Washington	6112	98671-7832	-122.2335226	K 	3270	360.954.3601	Washougal School District		9731 WASHOUGAL RIVER RD	45.6098714	MARY LOU WOODY	Educational Service District 112	Public School	5	Cape Horn Skye Elementary	6801
WASHOUGAL	Washington	6112	98671-9074	-122.3283235	9	1528	360.954.3300	Washougal School District		1401 39TH STREET	45.5864686	David Hansen	Educational Service District 112	Public School	12	Excelsior High School	6801
Washougal	Washington	6112	98671-1907	-122.3314441	K 	2911	360.954.3701	Washougal School District		1100 34th Street	45.584675	REX LARSON	Educational Service District 112	Public School	5	Gause Elementary	6801
WASHOUGAL	Washington	6112	98671-1652	-122.3450913	K 	2509	(360) 954-3801	Washougal School District		630 24TH ST	45.5815077	LAURA BOLT	Educational Service District 112	Public School	5	Hathaway Elementary	6801
WASHOUGAL	Washington	6112	98671-6736	-122.3117418	6	4207	360.954.3501	Washougal School District		35300 SE Evergreen Blvd.	45.5741999	Ron Carlson	Educational Service District 112	Public School	8	Jemtegaard Middle School	6801
WASHOUGAL	Washington	6112	98671-9112	-122.327828	9	3147	360.954.3100	Washougal School District		1201 39TH ST	45.584835	David Hansen	Educational Service District 112	Public School	12	Washougal High School	6801
WHITE SWAN	Washington	33049	98952-0000	-120.8568717	11	1911	(509) 258-4535	Wellpinit School District		40 ABELLA LANE	46.3377357	Terry Bartolino	Educational Service District 101	Public School	12	Wellpinit-Fort Semco High School	32801
WENATCHEE	Washington	4246	98801-0000	-120.3189606	K 	2301	509.662.7256	Wenatchee School District		600 ALASKA ST	47.4179042	Bill Eagle	North Central Educational Service District 171	Public School	5	Columbia Elementary School	4801
WENATCHEE	Washington	4246	98801-0000	-120.3455555	K 	3208	509.662.8803	Wenatchee School District		3109 SCHOOL STREET	47.472994	Corrinne Pflug-Tilton	North Central Educational Service District 171	Public School	5	Sunnyslope Elementary School	4801
SPOKANE	Washington	32363	99212-0000	-117.292593	9	3195	509.922.5488	West Valley School District (Spokane)		8301 E BUCKEYE	47.682913	Gary Neal	Educational Service District 101	Public School	12	West Valley High School	32801
Yakima	Washington	39208	98908-1408	-120.6239282	K 	3699	509.965.2060	West Valley School District (Yakima)		7 N 88th Avenue	46.5975862	Heidi Sutton	Educational Service District 105	Public School	4	Apple Valley Elementary	39801
Yakima	Washington	39208	98902	-120.5584691	PK	5096	509.965.2080	West Valley School District (Yakima)		3801 Kern Road	46.6119945	Jennifer Allen	Educational Service District 105	Public School	PK	Children's Village	39801
Yakima	Washington	39208	98908-9746	-120.635785	K 	4448	509.965.2052	West Valley School District (Yakima)		1041 S 96th Ave	46.5864096	Sherry Adams	Educational Service District 105	Public School	4	Cottonwood Elementary School	39801
Yakima	Washington	39208	98908-9115	-120.7104535	K 	2758	509.965.2070	West Valley School District (Yakima)		830 Stone Rd	46.5884666	Georgia Bonari	Educational Service District 105	Public School	4	Mountainview Elementary	39801
Yakima	Washington	39208	98908-3131	-120.5930038	K 	3207	509.965.2050	West Valley School District (Yakima)		6305 W Chestnut Ave	46.597994	Crystal McDonald	Educational Service District 105	Public School	4	Summitview Elementary	39801
Yakima	Washington	39208	98908-9243	-120.6387466	10	3074	509.972.5906	West Valley School District (Yakima)		9800 Zier Rd	46.5729464	William Oppliger	Educational Service District 105	Public School	12	West Valley High School	39801
Yakima	Washington	39208	98908	-120.6319262	9	5221	509.972.5606	West Valley School District (Yakima)		9206 Zier Road	46.5738258	Jean Seibert	Educational Service District 105	Public School	9	West Valley High School Freshman Campus	39801
Yakima	Washington	39208	98908-2077	-120.6092482	7	4040	509.972.5806	West Valley School District (Yakima)		7505 Zier Rd	46.5762665	Thomas Schend	Educational Service District 105	Public School	8	West Valley Jr High	39801
Buckley	Washington	27416	98321-1684	-122.062859	4	1544	360.829.3819	White River School District		PO Box 1684	47.1500198	Michael Hagadone	Puget Sound Educational Service District 121	Public School	12	Collins Alternative Programs	17801
Buckley	Washington	27416	98321-1685	-122.0166411	K 	2190	360.829.3354	White River School District		PO Box 1685	47.1662611	Christi Ellenwood	Puget Sound Educational Service District 121	Public School	5	Elk Ridge Elementary	17801
Buckley	Washington	27416	98321-2210	-122.115367	K 	4309	(360) 829-5979	White River School District		PO Box 2210	47.1600266	Mark Cushman	Puget Sound Educational Service District 121	Public School	5	Foothills Elementary	17801
Buckley	Washington	27416	98321-1683	-122.0228865	6	3458	360.829.6147	White River School District		PO Box 1683	47.1643452	Gregory Borgerding	Puget Sound Educational Service District 121	Public School	8	Glacier Middle School	17801
Buckley	Washington	27416	98321-2390	-122.0607428	PK	4471	360.829.6047	White River School District		PO Box 2390	47.149693	Adam Uhler	Puget Sound Educational Service District 121	Public School	5	Mountain Meadow Elementary	17801
Buckley	Washington	27416	98321	-122.0736085	9	4569	360.829.5500	White River School District		P. O. Box 1683	47.145673	Elaine Mathews	Puget Sound Educational Service District 121	Public School	12	White River High School	17801
Buckley	Washington	27416	98321	-122.05787	PK	5045	(360) 829-3957	White River School District		P. O. Box 2050	47.144155	Hugh Flint	Puget Sound Educational Service District 121	Public School	K 	White River Special Ed Services	17801
Wilkeson	Washington	27416	98396-0000	-122.0426117	K 	4170	360.829.6107	White River School District		PO Box A	47.101769	Nick Hedman	Puget Sound Educational Service District 121	Public School	5	Wilkeson Elementary School	17801
WHITE SALMON	Washington	20405	98672-1279	-121.4870174	K 	2997	(509) 493-1560	White Salmon Valley School District		PO BOX 1279	45.7306748	VICKI PRENDERGAST	Educational Service District 112	Public School	4	Hulan L Whitson Elem	6801
White Salmon	Washington	20405	98672	-121.4921433	9	5077	509.493.1970	White Salmon Valley School District		PO BOX 1339	45.7426514	TROY WHITTLE	Educational Service District 112	Public School	12	White Salmon Academy	6801
Wilbur	Washington	22200	99185-1090	-118.705281	K 	3290	509.647.5892	Wilbur School District		PO Box 1090	47.7532071	Thomas Johnson	Educational Service District 101	Public School	6	Wilbur Elementary School	32801
Wilbur	Washington	22200	99185-1090	-118.705281	7	3289	509.647.5602	Wilbur School District		PO Box 1090	47.7532071	Thomas Johnson	Educational Service District 101	Public School	12	Wilbur Secondary School	32801
Menlo	Washington	25160	98561-0128	-123.5593752	K 	3444	(360) 942-3311	Willapa Valley School District		PO Box 128	46.5617946	Jay Pearson	Educational Service District 113	Public School	5	Willapa Elementary	34801
Menlo	Washington	25160	98561-0128	-123.6519145	6	2542	(360) 942-2006	Willapa Valley School District		PO Box 128	46.6247296	Rob Friese	Educational Service District 113	Public School	12	Willapa Valley Middle-High	34801
Wilson Creek	Washington	13167	98860-0000	-119.120572	K 	2472	509.345.2541	Wilson Creek School District		PO Box 46	47.4259784	Brad Smedley	North Central Educational Service District 171	Public School	6	Wilson Creek Elementary	4801
Wilson Creek	Washington	13167	98860-0046	-118.9886108	7	2473	509.345.2541	Wilson Creek School District		P.O. Box 46	47.4083901	Brad Smedley	North Central Educational Service District 171	Public School	12	Wilson Creek High	4801
WINLOCK	Washington	21232	98596-0000	-122.8926641	6	1829	360.785.3537	Winlock School District		241 NORTH MILITARY ROAD	46.489736	Brian  Maley	Educational Service District 113	Public School	12	Apolo High School	34801
WINLOCK	Washington	21232	98596-0000	-122.893069	6	4369	360.785.3046	Winlock School District		241 NORTH MILITARY ROAD	46.4893194	Brian  Maley	Educational Service District 113	Public School	8	Winlock Middle School	34801
Yakima	Washington	39007	98908-3740	-120.5690423	K 	3312	509.573.1901	Yakima School District		4411 W Nob Hill Blvd	46.5862802	Jean Hawkins	Educational Service District 105	Public School	5	Whitney Elementary	39801
Yakima	Washington	39007	98908-3838	-120.569061	6	3368	509.573.2401	Yakima School District		902 S 44th Ave	46.5880939	Ernesto Araiza	Educational Service District 105	Public School	8	Wilson Middle School	39801
Yelm	Washington	34002	98597	-122.4873135	K 	5018	360.894.6000	Yelm School District		16240 Bald Hill Rd	46.8510057	Kurt Fourre	Educational Service District 113	Public School	6	Lackamas Elementary	34801
Yelm	Washington	34002	98597-0476	-122.554775	K 	2260	360.458.2400	Yelm School District		PO Box 476	46.9386798	MATTHEW PIPER	Educational Service District 113	Public School	6	McKenna Elementary	34801
Yelm	Washington	34002	98597-0476	-122.6133654	PK	4451	360.458.3400	Yelm School District		PO Box 476	46.9336087	JERI PERSON	Educational Service District 113	Public School	6	Mill Pond Elementary School	34801
Yelm	Washington	34002	98597	-122.6166004	7	5052	(360) 458-8010	Yelm School District		PO BOX 476	46.9337407	John Johnson	Educational Service District 113	Public School	9	Ridgeline Middle School	34801
Yelm	Washington	34002	98597-0476	-122.6412382	K 	3848	360.458.2500	Yelm School District		PO Box 476	46.96982	CHARLES COOK	Educational Service District 113	Public School	6	Southworth Elementary	34801
Yelm	Washington	34002	98597-0476	-122.6023469	9	1627	360.458.6209	Yelm School District		PO Box 476	46.9400987	BRIAN WHARTON	Educational Service District 113	Public School	12	Yelm Extension School	34801
Yelm	Washington	34002	98597-0476	-122.6023469	10	2633	360.458.7777	Yelm School District		PO Box 476	46.9400987	Brian Wharton	Educational Service District 113	Public School	12	Yelm High School 12	34801
Yelm	Washington	34002	98597-0476	-122.6023469	7	2481	360.458.6176	Yelm School District		PO Box 476	46.9400987	HEIDI BUNKER	Educational Service District 113	Public School	9	Yelm Middle School	34801
Yelm	Washington	34002	98597-9638	-122.4989727	PK	4224	(360) 458-6261	Yelm School District		PO BOX 476	46.7996585	Debbie McLaren	Educational Service District 113	Public School	6	Yelm Prairie Elementary	34801
Zillah	Washington	39205	98953-9533	-120.2650546	PK	2783	509.829.5400	Zillah School District		211 Fourth Avenue	46.4067955	Doug Burge	Educational Service District 105	Public School	3	Hilton Elementary School	39801
Arlington		31016	98223	-122.1219499	PK	2277	360.618.6200	Arlington School District		315 N French Ave	48.1956988	Diane Kirchner-Scott	Northwest Educational Service District 189	Public School	12	Arlington Special Educ School	29801
Arlington	Washington	31016	98223-1119	-122.1122319	K 	4327	360.618.6270	Arlington School District		1216 E 5th	48.1939665	Kary Henderson-Burke	Northwest Educational Service District 189	Public School	5	Eagle Creek Elementary	29801
Arlington	Washington	31016	98223	-122.1211156	6	5010	360.618.6400	Arlington School District		600 E. First	48.1917226	Eric DeJong	Northwest Educational Service District 189	Public School	8	Haller Middle School	29801
Arlington	Washington	31016	98223-5933	-122.1197456	K 	4436	360.618.6260	Arlington School District		8110 207th St NE	48.1834899	Kathleen Engell	Northwest Educational Service District 189	Public School	5	Kent Prairie Elementary	29801
Arlington	Washington	31016	98223-4660	-122.1206953	K 	4573	360.618.6230	Arlington School District		8213 Eaglefield Dr	48.1655343	Karl Olson	Northwest Educational Service District 189	Public School	5	Pioneer Elementary	29801
Arlington	Washington	31016	98223-1119	-122.1117578	6	3124	360.618.6450	Arlington School District		1220 E. 5th St	48.1968812	Yvonne Walker	Northwest Educational Service District 189	Public School	8	Post Middle School	29801
Arlington	Washington	31016	98223-0000	-122.1205783	PK	4154	360.618.6240	Arlington School District		505 East Third	48.1969817	David McKeller	Northwest Educational Service District 189	Public School	5	Presidents Elementary	29801
Arlington	Washington	31016	98223-1118	-122.1145248	K 	1714	360.618.6440	Arlington School District		1215 E 5th	48.1972364	Amie Verellen-Grubbs	Northwest Educational Service District 189	Public School	12	Stillaguamish School	29801
Arlington	Washington	31016	98223	-122.1701803	9	4287	360.618.6340	Arlington School District		4407 172nd Street NE	48.1529712	Amie Verellen-Grubbs	Northwest Educational Service District 189	Public School	12	Weston High School	29801
ASOTIN	Washington	2420	99402-0000	-117.2851677	PK	2507	(509) 243-4147	Asotin-Anatone School District		PO Box 489	46.1880909	Wes Nicholas	Educational Service District 123	Public School	6	Asotin Elementary	11801
ASOTIN	Washington	2420	99402-0000	-117.2851677	7	2434	(509) 243-4151	Asotin-Anatone School District		PO BOX 489	46.1880909	DALE BONFIELD	Educational Service District 123	Public School	12	Asotin Jr Sr High	11801
PACIFIC	Washington	17408	98047-1122	-122.2501102	PK	3825	(253) 931-4976	Auburn School District		310 MILWAUKEE BLVD N	47.270534	DIANE COLLIER	Puget Sound Educational Service District 121	Public School	5	Alpac Elementary School	17801
Auburn	Washington	17408	98092	-122.1671256	K 	5082	253.931.4866	Auburn School District		29205 132nd Ave SE	47.3401329	Eric Daniel	Puget Sound Educational Service District 121	Public School	5	Arthur Jacobsen Elementary	17801
Auburn	Washington	17408	98092	-122.1718127	9	5037	253.804.4539	Auburn School District		28900 124th AVE SE	47.3420736	Terri Herren	Puget Sound Educational Service District 121	Public School	12	Auburn Mountainview High School	17801
AUBURN	Washington	17408	98092-8621	-122.2220755	9	4474	253.804.5154	Auburn School District		501 ORAVETZ RD SE	47.267717	DAVID HALFORD	Puget Sound Educational Service District 121	Public School	12	Auburn Riverside High School	17801
AUBURN	Washington	17408	98002-5018	-122.2194038	9	2795	253.931.4880	Auburn School District		800 4TH ST NE	47.3106205	Richard Zimmerman	Puget Sound Educational Service District 121	Public School	12	Auburn Senior High School	17801
AUBURN	Washington	17408	98002-2430	-122.2157768	6	2394	253.931.4995	Auburn School District		1015 24TH ST NE	47.3291386	Isaiah Johnson	Puget Sound Educational Service District 121	Public School	8	Cascade Middle School	17801
AUBURN	Washington	17408	98092-7221	-122.1797759	PK	3439	253.931.4980	Auburn School District		3502 AUBURN WAY S	47.2882671	Jennifer Davidson	Puget Sound Educational Service District 121	Public School	5	Chinook Elementary School	17801
AUBURN	Washington	17408	98002-3314	-122.2163309	PK	2932	253.931.4984	Auburn School District		1031 14TH ST NE	47.3209432	Adam Couch	Puget Sound Educational Service District 121	Public School	5	Dick Scobee Elementary School	17801
AUBURN	Washington	17408	98001-3822	-122.2642733	PK	3745	253.931.4974	Auburn School District		5602 S 316TH ST	47.3194832	Anne  Gayman	Puget Sound Educational Service District 121	Public School	5	Evergreen Heights Elementary	17801
AUBURN	Washington	17408	98002-8710	-122.2158241	PK	3669	253.931.4952	Auburn School District		1005 37TH ST SE	47.2781774	Colleen Barlow	Puget Sound Educational Service District 121	Public School	5	Gildo Rey Elementary School	17801
AUBURN	Washington	17408	98092-3115	-122.1836067	PK	4347	253.931.4740	Auburn School District		11815 SE 304TH ST	47.3291272	Sally Colburn	Puget Sound Educational Service District 121	Public School	5	Hazelwood Elementary School	17801
AUBURN	Washington	17408	98092-8601	-122.2270826	PK	4417	253.931.4748	Auburn School District		301 ORAVETZ PL SE	47.2641681	Timothy Carstens	Puget Sound Educational Service District 121	Public School	5	Ilalko Elementary School	17801
AUBURN	Washington	17408	98092-9285	-122.1223233	PK	4120	253.931.4830	Auburn School District		16401 SE 318TH ST	47.3167433	Michael Weibel	Puget Sound Educational Service District 121	Public School	5	Lake View Elementary School	17801
AUBURN	Washington	17408	98092	-122.2158634	K 	5051	253.876.7711	Auburn School District		1020 Evergreen Way SE	47.2542823	RYAN FOSTER	Puget Sound Educational Service District 121	Public School	5	Lakeland Hills Elementary	17801
AUBURN	Washington	17408	98092-3154	-122.173689	PK	3525	253.931.4982	Auburn School District		30908 124TH AVE SE	47.3251769	EDWARD HERDA	Puget Sound Educational Service District 121	Public School	5	Lea Hill Elementary School	17801
AUBURN	Washington	17408	98002-8011	-122.2200045	6	4462	253.804.4555	Auburn School District		620 37TH ST SE	47.2756285	Greg Brown	Puget Sound Educational Service District 121	Public School	8	Mt Baker Middle School	17801
AUBURN	Washington	17408	98002-6914	-122.21737	6	3169	253.931.4966	Auburn School District		1825 K ST SE	47.291924	Jason Hill	Puget Sound Educational Service District 121	Public School	8	Olympic Middle School	17801
AUBURN	Washington	17408	98002-7627	-122.2141814	PK	3227	253.931.4986	Auburn School District		2301 M ST SE	47.2883756	DEBRA GARY	Puget Sound Educational Service District 121	Public School	5	Pioneer Elementary School	17801
AUBURN	Washington	17408	98092-3161	-122.1855431	6	4385	253.931.4855	Auburn School District		30620 116TH AVE SE	47.3273568	Benjamin Talbert	Puget Sound Educational Service District 121	Public School	8	Rainier Middle School	17801
AUBURN	Washington	17408	98002-5020	-122.2228372	PK	1915	253.931.4927	Auburn School District		502 4TH ST NE	47.310835	Rhonda Larson	Puget Sound Educational Service District 121	Public School	12	Special Ed School	17801
AUBURN	Washington	17408	98002-6013	-122.225198	K 	2659	253.931.4978	Auburn School District		1101 D ST SE	47.297954	Thomas Dudley	Puget Sound Educational Service District 121	Public School	5	Terminal Park Elementary School	17801
AUBURN	Washington	17408	98002-5501	-122.222254	PK	2326	253.931.4988	Auburn School District		20 E ST NE	47.3082196	PAULINE THOMAS	Puget Sound Educational Service District 121	Public School	5	Washington Elementary School	17801
AUBURN	Washington	17408	98001-5275	-122.2349117	9	2702	253.931.4990	Auburn School District		401 W MAIN ST	47.3081073	Leonard Holloman	Puget Sound Educational Service District 121	Public School	12	West Auburn Senior High School	17801
Bainbridge Island	Washington	18303	98110-3695	-122.5242641	9	2395	206.780.1250	Bainbridge Island School District		9330 NE High School Rd	47.6365934	Brent Peterson	Puget Sound Educational Service District 121	Public School	12	Bainbridge High School	17801
Bainbridge Island	Washington	18303	98110-2999	-122.5221497	PK	1939	206.780.1234	Bainbridge Island School District		8489 Madison Ave NE	47.6383323	Betsy Minor-Reid	Puget Sound Educational Service District 121	Public School	12	Bainbridge Special Education Services	17801
Bainbridge Island	Washington	18303	98110-2259	-122.535242	K 	3552	206.780.2060	Bainbridge Island School District		4704 Blakely Ave NE	47.605845	Reese Ande	Puget Sound Educational Service District 121	Public School	4	Capt Johnston Blakely Elem Sch	17801
Bainbridge Island	Washington	18303	98110-0000	-122.5222446	9	1935	(206) 780-1387	Bainbridge Island School District		9530 NE High School Rd	47.636476	Catherine Camp	Puget Sound Educational Service District 121	Public School	12	Eagle Harbor High School	17801
Bainbridge Island	Washington	18303	98110-0000	-122.5222446	K 	1841	(206)780-1387	Bainbridge Island School District		9530 NE High School Rd	47.636476	Catherine Camp	Puget Sound Educational Service District 121	Public School	8	Mosaic Home Education Partnership	17801
Bainbridge Island	Washington	18303	98110-0000	-122.5222446	1	1699	(206)780-1387	Bainbridge Island School District		9530 NE High School Rd	47.636476	Catherine Camp	Puget Sound Educational Service District 121	Public School	8	Odyssey Multiage Program	17801
Bainbridge Island	Washington	18303	98110-0000	-122.5222446	1	1699	206.780.1387	Bainbridge Island School District		9530 NE High School Rd	47.636476	David Shockley	Puget Sound Educational Service District 121	Public School	8	Odyssey Multiage Program	17801
Bainbridge Island	Washington	18303	98110-2915	-122.5222516	PK	4062	206.780.1470	Bainbridge Island School District		8555 Madison Ave NE	47.6396839	Melinda Reynvaan	Puget Sound Educational Service District 121	Public School	4	Ordway Elementary	17801
Bainbridge Island	Washington	18303	98110-3642	-122.5271806	5	4542	206.780.6501	Bainbridge Island School District		9343 NE Sportsman Club Rd	47.648463	James Corsetti	Puget Sound Educational Service District 121	Public School	6	Sakai Intermediate	17801
Bainbridge Island	Washington	18303	98110-3640	-122.5277078	7	4505	206.780.4500	Bainbridge Island School District		9100 NE Sportsman Club Rd	47.6449542	Kenneth Florian	Puget Sound Educational Service District 121	Public School	8	Woodward Middle School	17801
BATTLE GROUND	Washington	6119	98604-0200	-122.5510603	9	2415	360.885.6550	Battle Ground School District		PO Box 200	45.7999734	TIM LEXOW	Educational Service District 112	Public School	12	Battle Ground High School	6801
BATTLE GROUND	Washington	6119	98604-0200	-122.5510603	K 	4352	360.885.6400	Battle Ground School District		PO Box 200	45.7999734	Cindy Arnold	Educational Service District 112	Public School	4	Captain Strong	6801
Battle Ground	Washington	6119	98604	-122.5510603	5	5133	360.885.6350	Battle Ground School District		PO BOX 200	45.7999734	Linda Allen	Educational Service District 112	Public School	8	Chief Umtuch Middle	6801
Battle Ground	Washington	6119	98604	-122.5510603	5	5089	360.885.6900	Battle Ground School District		PO Box 200	45.7999734	Shelly Whitten	Educational Service District 112	Public School	8	Daybreak Middle	6801
Battle Ground	Washington	6119	98604-0200	-122.5510603	K 	1875	(360) 834-000 	Battle Ground School District		PO Box 200	45.7999734	MARK CLEMENTS	Educational Service District 112	Public School	12	Homelink River	6801
VANCOUVER	Washington	6119	98662-0000	-122.5732088	5	3545	360.885.5200	Battle Ground School District		13601 NE 97TH AVE	45.7197991	JoDee McMillan	Educational Service District 112	Public School	8	Laurin Middle School	6801
Battle Ground	Washington	6119	98604	-122.5510603	K 	5291	360-885-6701	Battle Ground School District	400 N Parkway	PO Box 200	45.7999734	Bruce Kelley	Educational Service District 112	Public School	8	Maple Grove K-8	6801
VANCOUVER	Washington	6119	98686-0000	-122.6227801	5	3997	360.885.5500	Battle Ground School District		14320 NE 50TH AVE	45.726497	WARD HOLCOMB	Educational Service District 112	Public School	8	Pleasant Valley Middle	6801
Battle Ground	Washington	6119	98604-0200	-122.5510603	K 	3996	360.885.5550	Battle Ground School District		PO Box 200	45.7999734	Melissa Mitchell	Educational Service District 112	Public School	4	Pleasant Valley Primary	6801
Battle Ground	Washington	6119	98604-0200	-122.5510603	9	4104	360.885.5000	Battle Ground School District		PO Box 200	45.7999734	Jason Perrins	Educational Service District 112	Public School	12	Prairie High School	6801
Battle Ground	Washington	6119	98604-0200	-122.5510603	PK	4108	360.885.5318	Battle Ground School District		PO Box 200	45.7999734	Denny Waters	Educational Service District 112	Public School	12	Preschool Infant Other	6801
Battle Ground	Washington	6119	98604-0200	-122.5510603	9	4450	360.885.5331	Battle Ground School District		PO Box 200	45.7999734	Bill Penrose	Educational Service District 112	Public School	12	Summit View High School	6801
Battle Ground 	Washington	6119	98604	-122.5510603	5	5131	360.885.6250	Battle Ground School District		PO Box 200	45.7999734	Diana Harris	Educational Service District 112	Public School	8	Tukes Valley Middle School	6801
Battle Ground	Washington	6119	98642	-122.6931439	PK	5132	360.885.6200	Battle Ground School District		PO Box 200	45.7968414	Laurie Sundby	Educational Service District 112	Public School	4	Tukes Valley Primary 	6801
Bellevue	Washington	17405	98006	-122.182895	6	3338	425.456.6300	Bellevue School District		11650 S.E. 60th	47.5501672	Vic  Anderson	Puget Sound Educational Service District 121	Public School	8	Chinook Middle School	17801
Bellevue	Washington	17405	98004-2100	-122.211298	K 	2847	425.456.5000	Bellevue School District		9601 NE 24th Street	47.6310073	Christy Lindquist	Puget Sound Educational Service District 121	Public School	5	Clyde Hill Elementary	17801
Bellevue	Washington	17405	98006-1739	-122.1373109	K 	3036	425.456.5100	Bellevue School District		4255 153rd Avenue SE	47.5696349	Gail McDonald	Puget Sound Educational Service District 121	Public School	5	Eastgate Elementary School	17801
Bellevue	Washington	17405	98004-7200	-122.1982869	K 	2846	425.456.5200	Bellevue School District		10615 SE 23rd Street	47.589447	AUDREY TOWNSEND	Puget Sound Educational Service District 121	Public School	5	Enatai Elementary School	17801
Bellevue	Washington	17405	98007-4211	-122.1401995	6	3166	425.456.6400	Bellevue School District		15027 NE Bel-Red Road	47.6265678	Anissa Bereano	Puget Sound Educational Service District 121	Public School	8	Highland Middle School	17801
Bellevue	Washington	17405	98008-2492	-122.1240412	9	3588	425.456.7200	Bellevue School District		16245 NE 24th Street	47.6289341	Maria Frieboes-Gee	Puget Sound Educational Service District 121	Public School	12	Interlake Senior High School	17801
Bellevue		17405	98005	-122.172162	6	3522	425.456.6500	Bellevue School District		445 128th Ave SE	47.604526	JENNIFER ROSE	Puget Sound Educational Service District 121	Public School	12	International School	17801
Bellevue	Washington	17405	98007-5596	-122.1484754	K 	3225	425.456.5300	Bellevue School District		14310 SE 12th Street	47.602557	HEATHER EDLUND	Puget Sound Educational Service District 121	Public School	5	Lake Hills Elementary	17801
